,VRSK.US
0,-0.1964427926732171
1,0.4361041363816662
2,-0.2729778437400693
3,0.0794449446533582
4,0.0397066998438143
5,0.3403155173323538
6,0.247368421052631
7,-0.189833368487668
8,-0.1690259877456122
9,0.14241257450288
10,0.1132741497853077
11,-0.0764525993883846
12,0.1526717557251866
13,-0.0105301953351138
14,0.0447333105281054
15,-0.007894736842098
16,-0.0052634349176224
17,-0.1159298097697206
18,-0.0210825910504508
19,0.0105401844532333
20,0.1578531965272356
21,-0.0421119124072287
22,-0.0500329163923628
23,-0.0553301364809979
24,0.0947617794156243
25,0.3048959249487014
26,-0.3146781166367821
27,-0.0676868746321251
28,-0.0176605639606764
29,-0.0206082374068929
30,0.0147180030613479
31,-0.0942840306423247
32,-0.0884694780300662
33,0.0677806265287364
34,0.0206246317030032
35,0.2175574763332772
36,0.0998590225564003
37,0.0293616771389881
38,0.011743291644654
39,-0.0029359091042514
40,-0.0264301656290472
41,-0.0352526439482974
42,0.0088123843374642
43,0.0469773040899521
44,0.0
45,-0.0499383114975498
46,0.0469786834223877
47,-0.0528789659224461
48,0.0058750954703127
49,-0.1647737303595604
50,0.5318851128156413
51,0.4237051903885772
52,0.2114047287899835
53,0.016687061964624
54,0.1555037209818955
55,-0.0444493832648141
56,-0.0555926173004193
57,0.3158769742310852
58,0.058154025089318
59,-0.0748254073827842
60,-0.2611836621283683
61,0.0222234568587257
62,-0.2227295506431347
63,-0.1840901483878235
64,-0.1200815437459875
65,0.2368083802306855
66,-0.0724880115980793
67,0.0334448160535129
68,-0.0780988508312031
69,0.011155734047306
70,0.0167308014053879
71,0.1420098571547882
72,-0.0808159625459872
73,-0.1283553769741558
74,0.3387115612433934
75,0.299514301133301
76,-0.3194196307725642
77,0.0216508795669781
78,-0.0379034004764961
79,0.0919664592913105
80,-0.0812127774769927
81,-0.0731449624793384
82,-0.1927148363280982
83,0.1030368763557471
84,-0.2010541759495759
85,0.1275337150299759
86,-0.0597322907333415
87,-0.1060013046314379
88,0.0543301097468186
89,-0.0227151444802714
90,-0.0261999239006405
91,-0.0543862511557047
92,0.1628929793125823
93,-0.0217237821104611
94,-0.0489024125190194
95,0.1248168448472449
96,-0.2066452770678253
97,-0.021756867011146
98,0.2008468135924463
99,0.1679943640600456
100,0.0058951836349648
101,0.9286298329634408
102,1.000289100896207
103,-0.4413729020268255
104,0.2548803800034743
105,-0.0173812282734653
106,0.3090074219539646
107,-0.2344699820529156
108,-0.092715999304628
109,-0.0463795002608754
110,-0.0754235321420256
111,0.2950193787238913
112,-0.0520893621947004
113,0.1040703052728994
114,-0.0173480599086342
115,-0.0636500405045791
116,-0.4212789447688743
117,-0.1250872701885056
118,0.0058176740938919
119,0.0232652823823768
120,-0.0116339945320285
121,-0.1584730654050917
122,0.0361094933022617
123,0.0930990340975357
124,-0.1165093790050198
125,0.0926341792050258
126,0.1233598743972181
127,-0.3940553929295299
128,-0.1042517821419367
129,0.420863612132095
130,0.0644908030506845
131,-0.1628938942874751
132,0.0897917952747048
133,-0.0252603216480886
134,0.0392783996857689
135,-0.2221347429985436
136,-0.1746380485606457
137,-0.4271449181069817
138,-0.0934367744492848
139,-0.0283221932706533
140,-0.3125177566907113
141,0.4750325171068276
142,-0.2608153314055723
143,0.209347063483085
144,0.1214998163374888
145,0.410839406815426
146,-0.1550081731582242
147,0.1631963984243061
148,-0.2878266267848021
149,-0.1356315343317372
150,0.1707856138235902
151,0.619009584664527
152,0.169440845210806
153,0.084648707862379
154,0.2557798803049424
155,0.2897043529936156
156,0.0396019999009871
157,-0.049527016987764
158,0.1088408450007415
159,0.0741546371366451
160,-0.1758078494490478
161,-0.1264441910051192
162,-0.0446472864371341
163,0.0272770104396451
164,0.1015655965120949
165,0.197784810126585
166,0.0049443757725542
167,-0.0296750581136566
168,0.0667243296676095
169,0.0370553359683878
170,-0.0395413206801169
171,0.0247072194495287
172,-0.1881281251547084
173,0.1877748678163737
174,-0.3272024193148563
175,-0.1846234999340575
176,-0.2688645980253938
177,0.0046718550702456
178,-0.221122841114899
179,-0.1858653803602193
180,-0.2262042047369781
181,0.2477656844527042
182,-0.3062175475968569
183,-0.1511178274589997
184,-0.05781375077826
185,-0.2988536509211008
186,-0.0401606425702826
187,-0.0982669287118093
188,-0.0625726289443042
189,0.0625335000893274
190,0.0892538379150379
191,-0.1116919090381092
192,-0.1700604162005029
193,0.0715531505746724
194,-0.2634263359078145
195,0.229270584024868
196,0.1719364058592314
197,0.0044656812396817
198,0.2005526339245871
199,0.0579038795599285
200,0.0545968143945596
201,0.2486266338321678
202,-0.3898450128363569
203,0.0
204,0.0617665225447785
205,0.1091599430469813
206,-0.0189879426564094
207,0.0332178617187838
208,0.1705433701264928
209,0.0355172495441899
210,-0.0331604254008826
211,-0.1351928276647201
212,-0.0332162854702444
213,-0.0142375777134455
214,-0.104518029360064
215,0.1584259856562835
216,0.1157445244027555
217,-0.0318007670098474
218,0.113046771444801
219,0.0283956460009475
220,-0.0189340149578815
221,-0.0473574540632668
