,KLAC.US
0,0.6374119154388241
1,-0.0096101483166136
2,-0.4117211875583099
3,0.0642900768266381
4,-0.6177631153373336
5,-0.657637713243906
6,-0.0423411393023653
7,-0.0456189514158123
8,-0.4566359514885617
9,0.1568755617289053
10,-0.2145290187344522
11,-0.2166349373071516
12,0.0688818184800011
13,-0.0295294966861447
14,-0.3423981036412601
15,0.0477154186616587
16,-0.0312716020935417
17,-0.4447089553472622
18,0.4296296296296319
19,0.1676197988562383
20,0.0131449227735854
21,0.0131431951107194
22,-0.1513755429774843
23,0.3802779963283585
24,-0.2365930599369175
25,0.0456178365741076
26,-0.6138841078600075
27,-0.3685362202004001
28,-0.1052009626608664
29,-0.2137400170414364
30,0.4557216791259448
31,-0.3606983119319001
32,-0.4958821482426738
33,-0.0362618394905936
34,0.2362160059641611
35,-0.3007881101322248
36,0.6388624498860648
37,-0.0028843380444161
38,-0.1820440951252623
39,-0.0115596913562467
40,0.4115581649686314
41,0.2526267439857597
42,0.4031451036454682
43,-0.2137224175876461
44,0.0074205655674236
45,-0.0057304948282232
46,0.0
47,-0.2614191324331996
48,-0.1035256225915953
49,0.0344966365779349
50,0.6179615977625718
51,0.2361118687124559
52,0.0328828562997914
53,-0.4719722034461107
54,-0.5784690250709695
55,-0.4962362755909271
56,0.1221118161139688
57,0.3317105765559476
58,-0.279991384880469
59,-0.308460458249823
60,0.0036005760921851
61,0.4278542919634081
62,0.0596932925663979
63,-0.0226976788636754
64,0.1562499999999935
65,-0.0107358852930338
66,0.2439430720167628
67,0.1734337506830482
68,0.263020709918951
69,0.1325192862889872
70,-0.0059163895824158
71,-0.0343268388532425
72,-0.4494435460858088
73,0.3625162895391611
74,-0.3519033692369922
75,-0.0085331512927808
76,-0.3556134574773807
77,-0.2014186831417008
78,0.1570665676671363
79,-0.4014106717894412
80,-0.1521938892717587
81,0.1462365591397823
82,-0.2702624996406077
83,0.166480094147359
84,0.3746068058335723
85,-0.0887260654283185
86,-0.3287915117230633
87,-0.1740306063744155
88,-0.12384435932145
89,0.7066440555820888
90,-0.1004780579967363
91,-0.2381635581061647
92,-0.2791125945961578
93,0.4711104746903526
94,0.2005848915961251
95,0.3370364040334983
96,0.1621022097090672
97,-0.5418388208214739
98,-0.4148841482672465
99,-0.3023845179126861
100,0.1001395885173395
101,0.2059233238447116
102,-0.0606023877340905
103,-0.0424396750333413
104,0.3744865909640037
105,-0.2239845026938704
106,0.2776939329912514
107,-0.0906344410876167
108,0.0166135536391254
109,-0.0861625903195649
110,-0.4006677796327191
111,0.4442161247431486
112,0.4617166233023922
113,-0.1732553935157251
114,0.2337538658368264
115,0.1028228228228221
116,-0.1082251082251123
117,-0.0962927298988905
118,0.0225635162983765
119,0.0075206064617153
120,0.0060161232101978
121,0.1171769371751303
122,0.1110444177671082
123,-0.3614457831325267
124,-0.0572616859045832
125,0.0613062956849778
126,-0.0770852342447234
127,0.5258051391192785
128,0.2746652517244594
129,-0.4325883201153555
130,0.5393776890939759
131,0.3015137857076157
132,0.5855904575022137
133,-0.4049022649705264
134,0.1270490533296049
135,-0.2298350778022648
136,0.2633046279660386
137,-0.1222606875752536
138,-0.2598961410491638
139,0.1149211082122017
140,0.1674418604651226
141,-0.0993233596126367
142,0.4449663185217223
143,0.2619656670878733
144,0.0277298496425853
145,-0.0246548323471351
146,-0.0184945441094884
147,0.106784314160183
148,-0.286190711462455
149,0.7204390079401646
150,0.8250311332503082
151,0.444260770740786
152,0.2661903862336558
153,0.2142098228056345
154,0.3381609509495863
155,-0.1625126161109758
156,0.2235952754830247
157,0.183998909636098
158,-0.6619790773452261
159,-0.1167542323409333
160,-0.185777686035698
161,0.061887570912844
162,0.2469389854923245
163,-0.0514721021206428
164,0.1764091321698276
165,-0.0514077145843608
166,0.0325476223105284
167,-0.0051393623764364
168,-0.0359884836852269
169,-0.1510366607167368
170,-0.3910952009596689
171,-0.2372033835074644
172,-0.377379425123948
173,0.5654197552146134
174,0.0172354360565361
175,0.1230722479677802
176,-0.0988593155893501
177,0.0683942548825967
178,-0.3783544632096081
179,0.1796999923855859
180,-0.3468932424585075
181,-0.0122268072749565
182,-0.0366938812952954
183,0.0366804218248523
184,0.2621871284412102
185,-0.1114010590730849
186,-0.3076781778104321
187,-0.0459432141872575
188,0.0428619538927797
189,-0.0183727837829568
190,-0.0428882149312215
191,-0.0674412188467635
192,-0.1565858151673291
